一	1
浦	277,420
浸	277,150,72,84
海	277,42,274
浙	277,220,232
涓	277,119,382
浬	277,429
涉	277,206,118
浮	277,234,162
浚	277,88,50,131
浴	277,49,45,119
浩	277,226,119
涌	277,89,39,97
涊	277,81,6,257
浹	277,105,47,47
涅	277,209,99
浥	277,119,268
涔	277,121,45,1,17
烊	250,406
烘	250,183,49
烤	250,180,34
烙	250,130,119
烈	195,82,251
烏	491
爹	237,135,135
特	225,101,113
狼	194,6,412
狹	194,105,47,47
狽	194,434
狸	194,429
狷	194,119,382
玆	67,169,67,169
班	174,68,173
琉	174,115,172
珮	174,60,1,122
珠	174,5,281
珪	174,99,99
珞	174,130,119
畔	301,70,97
畝	67,301,132
畜	67,169,301
畚	88,105,301
留	65,6,81,301
疾	338,42,106
病	338,290
症	338,1,206
疲	338,349
疳	338,285
疽	338,299
疼	338,130,71
疹	338,45,128
痂	338,83,119
疸	338,209,1
皋	331,105,20
皰	349,64,145
益	140,49,305
盍	99,88,305
盎	308,305
眩	298,67,169
真	20,373,49
眠	298,348
眨	298,5,254
矩	42,106,102,73
砰	291,95,70
砧	291,38,119
砸	291,28,122
砝	291,99,88
破	291,349
砷	291,304
砥	291,240,1
砭	291,5,254
砠	291,299
砟	291,324
砲	291,64,145
祕	284,341
祐	284,23,119
祠	284,11,1,119
祟	152,80,283
祖	284,299
神	284,304
祝	284,119,55
祗	284,240,1
祚	284,324
秤	326,95,70
